,Entity,Code,Day,restriction_gatherings,stay_home_requirements
13935,Bolivia,BOL,2021-05-02,0.0,
13936,Bolivia,BOL,2021-05-03,0.0,
13937,Bolivia,BOL,2021-05-04,0.0,
13938,Bolivia,BOL,2021-05-05,0.0,
13939,Bolivia,BOL,2021-05-06,0.0,
13940,Bolivia,BOL,2021-05-07,0.0,
13941,Bolivia,BOL,2021-05-08,0.0,
13942,Bolivia,BOL,2021-05-09,0.0,
13943,Bolivia,BOL,2021-05-10,0.0,
20155,Cameroon,CMR,2021-11-06,3.0,
43518,Ghana,GHA,2021-07-18,3.0,
43519,Ghana,GHA,2021-07-19,3.0,
43520,Ghana,GHA,2021-07-20,3.0,
43521,Ghana,GHA,2021-07-21,3.0,
43522,Ghana,GHA,2021-07-22,3.0,
43523,Ghana,GHA,2021-07-23,3.0,
43524,Ghana,GHA,2021-07-24,3.0,
43525,Ghana,GHA,2021-07-25,3.0,
43526,Ghana,GHA,2021-07-26,3.0,
43527,Ghana,GHA,2021-07-27,3.0,
43528,Ghana,GHA,2021-07-28,3.0,
43529,Ghana,GHA,2021-07-29,3.0,
43530,Ghana,GHA,2021-07-30,3.0,
43531,Ghana,GHA,2021-07-31,3.0,
43532,Ghana,GHA,2021-08-01,3.0,
43533,Ghana,GHA,2021-08-02,3.0,
43534,Ghana,GHA,2021-08-03,3.0,
43535,Ghana,GHA,2021-08-04,3.0,
83920,Oman,OMN,2021-10-12,4.0,
83933,Oman,OMN,2021-10-25,4.0,
85972,Panama,PAN,2021-11-07,4.0,
85973,Panama,PAN,2021-11-08,4.0,
85974,Panama,PAN,2021-11-09,4.0,
87134,Paraguay,PRY,2021-05-03,3.0,
87135,Paraguay,PRY,2021-05-04,3.0,
87136,Paraguay,PRY,2021-05-05,3.0,
87137,Paraguay,PRY,2021-05-06,3.0,
87138,Paraguay,PRY,2021-05-07,3.0,
87139,Paraguay,PRY,2021-05-08,3.0,
87140,Paraguay,PRY,2021-05-09,3.0,
87141,Paraguay,PRY,2021-05-10,3.0,
87142,Paraguay,PRY,2021-05-11,3.0,
95326,Senegal,SEN,2021-09-27,1.0,
95327,Senegal,SEN,2021-09-28,1.0,
95328,Senegal,SEN,2021-09-29,1.0,
95329,Senegal,SEN,2021-09-30,1.0,
95330,Senegal,SEN,2021-10-01,1.0,
95331,Senegal,SEN,2021-10-02,1.0,
95332,Senegal,SEN,2021-10-03,1.0,
99264,Slovenia,SVN,2021-06-21,3.0,
99265,Slovenia,SVN,2021-06-22,3.0,
99266,Slovenia,SVN,2021-06-23,3.0,
99267,Slovenia,SVN,2021-06-24,3.0,
99268,Slovenia,SVN,2021-06-25,3.0,
99269,Slovenia,SVN,2021-06-26,3.0,
99270,Slovenia,SVN,2021-06-27,3.0,
99271,Slovenia,SVN,2021-06-28,3.0,
99272,Slovenia,SVN,2021-06-29,3.0,
99273,Slovenia,SVN,2021-06-30,3.0,
99274,Slovenia,SVN,2021-07-01,3.0,
99275,Slovenia,SVN,2021-07-02,3.0,
99276,Slovenia,SVN,2021-07-03,3.0,
99277,Slovenia,SVN,2021-07-04,3.0,
99278,Slovenia,SVN,2021-07-05,3.0,
99279,Slovenia,SVN,2021-07-06,3.0,
99280,Slovenia,SVN,2021-07-07,3.0,
99281,Slovenia,SVN,2021-07-08,3.0,
99282,Slovenia,SVN,2021-07-09,3.0,
99283,Slovenia,SVN,2021-07-10,3.0,
99284,Slovenia,SVN,2021-07-11,3.0,
99285,Slovenia,SVN,2021-07-12,3.0,
99391,Slovenia,SVN,2021-10-26,3.0,
99392,Slovenia,SVN,2021-10-27,3.0,
99393,Slovenia,SVN,2021-10-28,3.0,
108099,Taiwan,TWN,2021-10-19,3.0,
108100,Taiwan,TWN,2021-10-20,3.0,
110711,Timor,TLS,2021-08-26,4.0,
124171,Central African Republic,CAF,2021-09-21,,0.0
124172,Fiji,FJI,2021-06-29,,2.0
124173,Fiji,FJI,2021-06-30,,2.0
124174,Fiji,FJI,2021-07-01,,2.0
124175,Fiji,FJI,2021-07-02,,2.0
124176,Fiji,FJI,2021-07-03,,2.0
124177,Fiji,FJI,2021-07-04,,2.0
124178,Fiji,FJI,2021-07-05,,2.0
124179,Honduras,HND,2021-02-12,,2.0
124180,Kuwait,KWT,2021-09-14,,0.0
124181,Kuwait,KWT,2021-09-15,,0.0
124182,Kuwait,KWT,2021-09-16,,0.0
124183,Kuwait,KWT,2021-09-17,,0.0
124184,Kuwait,KWT,2021-09-18,,0.0
124185,Kuwait,KWT,2021-09-19,,0.0
124186,Kuwait,KWT,2021-09-20,,0.0
124187,Kuwait,KWT,2021-09-21,,0.0
124188,Lesotho,LSO,2021-10-25,,2.0
124189,New Zealand,NZL,2021-04-12,,0.0
124190,New Zealand,NZL,2021-04-13,,0.0
124191,New Zealand,NZL,2021-04-14,,0.0
124192,New Zealand,NZL,2021-04-15,,0.0
124193,New Zealand,NZL,2021-04-16,,0.0
124194,New Zealand,NZL,2021-04-17,,0.0
124195,New Zealand,NZL,2021-04-18,,0.0
124196,New Zealand,NZL,2021-04-19,,0.0
124197,Rwanda,RWA,2021-10-26,,2.0
124198,Rwanda,RWA,2021-10-27,,2.0
124199,Rwanda,RWA,2021-10-28,,2.0
124200,Rwanda,RWA,2021-10-29,,2.0
124201,Rwanda,RWA,2021-10-30,,2.0
124202,Rwanda,RWA,2021-10-31,,2.0
124203,Rwanda,RWA,2021-11-01,,2.0
124204,Rwanda,RWA,2021-11-02,,2.0
124205,Sri Lanka,LKA,2021-10-31,,1.0
124206,Sudan,SDN,2021-09-12,,0.0
124207,Sudan,SDN,2021-09-13,,0.0
124208,Sudan,SDN,2021-09-14,,0.0
124209,Sudan,SDN,2021-09-15,,0.0
124210,Sudan,SDN,2021-09-16,,0.0
124211,Sudan,SDN,2021-09-17,,0.0
124212,Sudan,SDN,2021-09-18,,0.0
124213,Sudan,SDN,2021-09-19,,0.0
124214,Sudan,SDN,2021-09-20,,0.0
124215,Sudan,SDN,2021-09-21,,0.0
124216,Sudan,SDN,2021-09-22,,0.0
124217,Sudan,SDN,2021-09-23,,0.0
124218,Sudan,SDN,2021-09-24,,0.0
124219,Sudan,SDN,2021-09-25,,0.0
124220,Sudan,SDN,2021-09-26,,0.0
124221,Sudan,SDN,2021-09-27,,0.0
124222,Sudan,SDN,2021-09-28,,0.0
124223,Sudan,SDN,2021-09-29,,0.0
124224,Sudan,SDN,2021-09-30,,0.0
124225,Sudan,SDN,2021-10-01,,0.0
124226,Sudan,SDN,2021-10-02,,0.0
124227,Sudan,SDN,2021-10-03,,0.0
124228,Sudan,SDN,2021-10-04,,0.0
124229,Sudan,SDN,2021-10-05,,0.0
124230,Sudan,SDN,2021-10-06,,0.0
124231,Sudan,SDN,2021-10-07,,0.0
124232,Sudan,SDN,2021-10-08,,0.0
124233,Sudan,SDN,2021-10-09,,0.0
124234,Sudan,SDN,2021-10-10,,0.0
124235,Sudan,SDN,2021-10-11,,0.0
124236,Sudan,SDN,2021-10-12,,0.0
124237,Sudan,SDN,2021-10-13,,0.0
124238,Sudan,SDN,2021-10-14,,0.0
124239,Sudan,SDN,2021-10-15,,0.0
124240,Sudan,SDN,2021-10-16,,0.0
124241,Sudan,SDN,2021-10-17,,0.0
124242,Sudan,SDN,2021-10-18,,0.0
124243,Thailand,THA,2021-02-10,,1.0
124244,Thailand,THA,2021-02-11,,1.0
124245,Thailand,THA,2021-02-12,,1.0
124246,Thailand,THA,2021-02-13,,1.0
124247,Thailand,THA,2021-02-14,,1.0
124248,Thailand,THA,2021-02-15,,1.0
124249,Thailand,THA,2021-02-16,,1.0
124250,Thailand,THA,2021-02-17,,1.0
124251,Thailand,THA,2021-02-18,,1.0
124252,Thailand,THA,2021-02-19,,1.0
124253,Thailand,THA,2021-02-20,,1.0
124254,Thailand,THA,2021-02-21,,1.0
124255,Thailand,THA,2021-02-22,,1.0
124256,Trinidad and Tobago,TTO,2021-05-31,,2.0
124257,Trinidad and Tobago,TTO,2021-06-01,,2.0
124258,Trinidad and Tobago,TTO,2021-06-02,,2.0
124259,Trinidad and Tobago,TTO,2021-06-03,,2.0
124260,Trinidad and Tobago,TTO,2021-06-04,,2.0
124261,Trinidad and Tobago,TTO,2021-06-05,,2.0
124262,Trinidad and Tobago,TTO,2021-06-06,,2.0
